internal_id,product_name,other_name,hindi_name,category,image_available
1,Spinach,Palak,पालक,vegetable,Yes
2,Corriander,Dhaniya,धनिया  ,vegetable,Yes
3,Mango,Aam,आम,fruit,Yes
4,Cauliflower,Phoolgobi,फूलगोभी,vegetable,Yes
5,Cabbage,Pattagobi,पत्तागोभी,Vegetable,Yes
6,Beetroot,chukandar,चुकंदर  ,fruit,Yes
7,snake gourd,padwal,चिचिण्डा,vegetable,Yes
8,Amaranth leaves,chauli,राजमार्ग पत्तियां,vegetable,Yes
9,white pumpkin,petha,सफेद कद्दू,vegetable,Yes
10,brinjal,baingan,बैंगन,vegetable,Yes
11,bottle gourd,lauki,लौकी,vegetable,Yes
12,bitter gourd,karela,करेला,vegetable,Yes
13,carrot,gajar,गाजर,vegetable,Yes
14,coconut,nariyal,नारियल,vegetable,yes
15,corn,bhutta,मक्का,vegetable,Yes
16,cucumber,kheera,खीरा,vegetable,Yes
17,curry leaves,kadi patta,करी पत्ते,vegetable,Yes
18,drumsticks,sahjan ki phalli,ढोल का छड़ी,vegetable,Yes
19,fenugreek leaves,methi,कसूरी मेथी,vegetable,Yes
20,garlic,lahsun,लहसुन,vegetable,Yes
21,fresh ginger,adrak,ताजा अदरक,vegetable,Yes
22,green chilli,hari mirch,हरी मिर्च,vegetable,Yes
23,jackfruit,kathal ,कटहल,vegetable,Yes
24,lemon,nimbu,नींबू,vegetable,Yes
25,mushroom,khumb,मशरूम,vegetable,Yes
26,mustard leaves,sarson ka saag,सरसों के पत्ते,vegetable,Yes
27,onion,pyaaz,प्याज,vegetable,Yes
28,lady finger,bhindi,भिन्डी,vegetable,Yes
29,peas,matar,मटर,vegetable,Yes
30,mint leaves ,pudina patta,पुदीने की पत्तियां,vegetable,Yes
31,pumpkin,kaddu,कद्दू,vegetable,Yes
32,potato ,aloo,आलू,vegetable,Yes
33,radish,mooli,मूली,vegetable,Yes
34,unripe raw banana ,kacha kela,कच्चा केला,vegetable,Yes
35,red chilli ,lal mirchi,लाल मिर्च,vegetable,Yes
36,sweet potato,shakarkandi,शकरकंद,vegetable,Yes
37,tomato,tamatar,टमाटर,vegetable,Yes
38,turnip,shalzam,शलजम,vegetable,Yes
39,capsicum green ,shimla green,कैप्सिकम ग्रीन,vegetable,Yes
40,capsicum red,shimla red,कैप्सीकम रेड,vegetable,Yes
41,capsicum yellow,shimla yellow,कैप्सिकम येलो  ,vegetable,Yes
42,bhatta,bhatta,भटा ,vegetable,Yes
43,red spinach,red  bhaji,लाल पालक,vegetable,Yes
44,flat beans,sem,सेम,vegetable,Yes
45,french beans,beans,फ्रेंच बीन्स,vegetable,Yes
46,cowpea beans,chauli,गोभी सेम,vegetable,Yes
47,gowar beans,gawar,ग्वार बीन्स,vegetable,Yes
48,apple gourd ,tinda,सेब लौकी,vegetable,Yes
49,watermelon,tarbooz,तरबूज,fruit,Yes
50,muskmelon,karbooz,खरबूजा,fruit,Yes
51,apple  ,sev,सेब,fruit,Yes
52,green apple,hara sev,हरा सेब,fruit,Yes
53,pear,babugosha,नाशपाती,fruit,Yes
54,green grapes, angoor ,हरे अंगूर,fruit,Yes
55,purple grapes,kale angoor,बैंगनी अंगूर,fruit,Yes
56,orange,santara,संतरा,fruit,Yes
57,pineapple,annanas,अनानास,fruit,Yes
58,strawberry ,strawberry,स्ट्रॉबेरी,fruit,Yes
59,blueberry,blueberry,ब्लूबेरी,fruit,Yes
60,jamun,jamun,जामुन,fruit,Yes
61,custard apple,sitafal,शरीफा,fruit,Yes
62,saporta,chiku,चीकू,fruit,Yes
63,kinnow,kinnow,किन्नू,fruit,Yes
64,sweet lime,mosambi,मोसम्बी,fruit,Yes
65,kiwi,kiwi,कीवी,fruit,Yes
66,papaya ripe ,papita pakka,पक्का पपीता,fruit,Yes
67,papaya raw,papita kacha,कचा पपीता,fruit,Yes
68,litchi,litchi,लीची,fruit,Yes
69,pomegranate,anar,अनार,fruit,Yes
70,peach,peach,आड़ू,fruit,Yes
71,avocado,avocado,एवोकाडो,fruit,Yes
72,plum ,aloo bukhara,आलूबुख़ारे,fruit,Yes
73,fig,anjeer,अंजीर,fruit,Yes
